,zipcode,type,commoncity,county,areacode
2559,96048,Standard,"Junction City, Helena",Trinity County,Area Code 530
2560,96049,PO Box,Redding,Siskiyou County,Area Code 530
2561,96050,Standard,"Klamath River, Horse Creek",Siskiyou County,Area Code 530
2562,96051,Standard,Lakehead,Shasta County,Area Code 530
2563,96052,Standard,Lewiston,Trinity County,Area Code 530
2564,96054,PO Box,Lookout,Modoc County,Area Code 530
2565,96055,Standard,Los Molinos,Tehama County,Area Code 530
2566,96056,Standard,"Mcarthur, Little Valley",Shasta County,Area Code 530
2567,96057,Standard,Mccloud,Siskiyou County,Area Code 530
2568,96058,Standard,Macdoel,Siskiyou County,Area Code 530
2569,96059,Standard,Manton,Tehama County,Area Code 530
